Lat,Long,name,Stage,Icon,MW
52.47972222,1.759722222,Ness Point,Operational,small_red,2.75
52.44833333,-0.756666667,New Albion,Consented,measle_turquoise,
55.47833333,-1.908611111,New Bewick Farm,In planning,measle_grey,
57.29472222,-2.501111111,Newbigging Farm,Consented,measle_turquoise,
55.1775,-3.315833333,Newfield Wind Farm,In planning,measle_grey,
54.86138889,-2.875555556,Newlands Farm (1 turbine),In planning,measle_grey,
57.5425,-2.312777778,Newstead,Operational,small_red,0.8
52.99722222,-1.2975,Newthorpe Sewage Treatment Works,Consented,measle_turquoise,
53.50861111,8.33E-03,Newton Marsh Treatment Works,Consented,measle_turquoise,
57.70888889,-3.980833333,Nigg Hill,In planning,measle_grey,
54.92,-1.468055556,Nissan Motors Plant,Operational,small_red,3.96
54.92,-1.468055556,Nissan Motors Plant Extn,Operational,small_red,1.98
56.16527778,-3.179444444,Noble Foods,Consented,measle_turquoise,
57.49166667,-2.623888889,North Balnoon,In planning,measle_grey,
53.43333333,-3.4,North Hoyle,Operational,small_red,60
57.49666667,-2.194722222,North Mains Auchmaliddie,In planning,measle_grey,
52.62861111,0.733055556,North Pickenham Airfield,Consented,measle_turquoise,
52.62611111,0.749722222,North Pickenham Windfarm,Operational,small_red,14.4
57.58583333,-2.005833333,North Redbog,Operational,small_red,1.6
54.8675,-5.086944444,North Rhins,Operational,small_red,22
58.31305556,-6.709444444,North Tolsta,Consented,measle_turquoise,
60.66972222,-1.003333333,North Yell,Consented,measle_turquoise,
58.87083333,-2.894722222,Northfield wind turbines (Burray),Operational,small_red,0.9
57.71444444,-4.434166667,Novar,Operational,small_red,17
57.71444444,-4.434166667,Novar Extension,Under construction,small_blue,
52.20361111,-0.661111111,Nun Wood,Consented,measle_turquoise,
55.57888889,-3.992222222,Nutberry Hill,Consented,measle_turquoise,
52.63555556,-3.61E-02,Nutsgrove Farm,Consented,measle_turquoise,
51.69194444,-3.170277778,Oakdale Business Park,In planning,measle_grey,
54.65944444,-3.559444444,Oldside,Operational,small_red,5.4
54.3325,-7.886388889,Ora More,In planning,measle_grey,
44.93027778,34.82638889,Orchard End Resubmission,Consented,measle_turquoise,
52.08694444,-0.783333333,Orchard Way,In planning,measle_grey,
58.82666667,-3.326111111,Ore Brae,Operational,small_red,0.9
54.1,-3.416666667,Ormonde,Under construction,small_blue,
53.3875,-1.284166667,Ossington Road,Consented,measle_turquoise,
50.69305556,-4.608055556,Otterham B,In planning,measle_grey,
53.6675,-0.101111111,Out Newton,Operational,small_red,9.1
53.77416667,-1.934722222,Ovenden Moor,Operational,small_red,9.2
53.78138889,-1.937777778,Ovenden Moor Repowering,In planning,measle_grey,
55.72722222,-4.254722222,Over Enoch & Ardoch,Consented,measle_turquoise,
54.80833333,-7.331666667,Owenreagh,Operational,small_red,5
54.80833333,-7.331666667,Owenreagh Extension,Operational,small_red,5.1
51.60638889,-3.495833333,Pant-y-wal,Consented,measle_turquoise,
51.85777778,-4.577777778,Parc Cynog,Operational,small_red,3.6
58.50388889,-6.505833333,Park Estate (Pairc),In planning,measle_grey,
55.82666667,-3.653611111,Pates Hill,Operational,small_red,14
57.44611111,-3.476111111,Pauls Hill,Operational,small_red,64.4
52.70361111,-3.576388889,Pen Y Cymoedd,In planning,measle_grey,
55.85777778,-4.577777778,Pendine (Parc Cynog Extension I),Operational,small_red,4.8
55.9025,-2.2975,Penmanshiel,In planning,measle_grey,
53.38944444,-1.284722222,Penny Hill,Consented,measle_turquoise,
58.25888889,-6.510833333,Pentland Road (incorporating Beinn Mholach,Consented,measle_turquoise,
54.58277778,-7.451388889,Pigeon Top,Consented,measle_turquoise,
54.87333333,-2.955277778,Pirelli,Consented,measle_turquoise,
55.83944444,-2.841388889,Pogbie Farm,Consented,measle_turquoise,
54.58166667,-7.474444444,Pollnalaght (Pigeon Top),Consented,measle_turquoise,
52.89888889,1.179722222,Pond Farm,In planning,measle_grey,
53.45861111,-3.030277778,Port of Liverpool / Mersey Docks,Operational,small_red,10
51.43194444,0.738055556,Port of Sheerness,Consented,measle_turquoise,
51.7725,-4.672777778,Princes Gate Spring Water,In planning,measle_grey,
52.75694444,0.446666667,Queen Elizabeth Hospital resubmission,Consented,measle_turquoise,
53.2925,0.776111111,Race Bank,In planning,measle_grey,
52.46055556,-0.12,Ramsey Repowering,Operational,small_red,1.8
52.495,2.39E-02,Ransonmoor Farm,Operational,small_red,6
52.495,2.39E-02,Ransonmoor Phase II,Operational,small_red,4
55.15472222,-2.009444444,Ray Estate,Consented,measle_turquoise,
53.69888889,-2.160555556,"Reaps Moss, Britannia",Consented,measle_turquoise,
54.64611111,-1.321111111,Red Gap Farm,Consented,measle_turquoise,
52.45055556,-0.0075,Red Tile,Operational,small_red,24
52.31444444,-3.001111111,Reeves Hill,Consented,measle_turquoise,
52.40333333,-3.882222222,Rheidol,Operational,small_red,2.4
56.20305556,-3.7875,Rhodders (Burnfoot Ext),In planning,measle_grey,
53.41277778,-4.431666667,Rhyd-y-Groes,Operational,small_red,7.2
53.36666667,-3.65,Rhyl Flats,Operational,small_red,90
55.02166667,-6.820277778,Rigged Hill,Operational,small_red,5
54.75,-3.683333333,Robin Rigg,Operational,small_red,180
54.82944444,-6.048333333,Robinsons,Consented,measle_turquoise,
52.20305556,-4.78E-02,Rockery Farm,Consented,measle_turquoise,
58.00388889,-4.549444444,Rosehall Woods,Under construction,small_blue,
57.53722222,-3.371388889,Rothes (Cairn Uish),Operational,small_red,50.6
57.53694444,-3.379722222,Rothes Extension - Resubmission,Consented,measle_turquoise,
59.085,-2.683888889,Rothiesholm Head,Consented,measle_turquoise,
55.7375,-2.861111111,Rowantree,In planning,measle_grey,
52.33888889,1.128055556,Roy Humphrey Group,Consented,measle_turquoise,
54.63305556,-1.6375,Royal Oak,Consented,measle_turquoise,
53.45861111,-3.030277778,Royal Seaforth Dock,Operational,small_red,3.6
53.53194444,-1.669444444,Royd Moor,Operational,small_red,6.5
56.04361111,-3.965277778,Rullie,In planning,measle_grey,
58.3475,-3.356388889,Rumster Forest Community Wind Farm,In planning,measle_grey,
53.72555556,-0.920833333,Rusholme,Operational,small_red,24
53.84555556,-0.609166667,Sancton Hill resubmission,Under construction,small_blue,
59.18666667,-2.771666667,Sandybanks,Consented,measle_turquoise,
53.63972222,-0.473888889,Saxby Wold resubmission,In planning,measle_grey,
53.72194444,-2.1925,Scar End Farm,In planning,measle_grey,
53.66694444,-2.273888889,Scout Moor,Operational,small_red,65
54.45333333,-7.338333333,Screggagh,Operational,small_red,20
52.63333333,1.783333333,Scroby Sands,Operational,small_red,60
54.49111111,-1.254444444,Seamer re-submission Pt1,Consented,measle_turquoise,
54.49111111,-1.254444444,Seamer re-submission Pt2,Consented,measle_turquoise,
54.64888889,-7.701111111,Seegronan,Consented,measle_turquoise,
52.70333333,-1.141666667,Severn Trent Sewage Treatment Works,Consented,measle_turquoise,
58.33277778,-6.069722222,Shawbost & Dalmore,In planning,measle_grey,
50.82944444,0.270833333,Shepham Lane,In planning,measle_grey,
54.72472222,-1.309166667,Sheraton,In planning,measle_grey,
53.11666667,1.133333333,Sheringham Shoal,Under construction,small_blue,
57.49388889,-2.534722222,Shielburn Farm,In planning,measle_grey,
56.8475,-2.410555556,Shiels Farm,In planning,measle_grey,
52.64277778,0.886666667,Shipdham Resubmission,In planning,measle_grey,
51.76305556,-4.711388889,Shipping Hill Plantation,Consented,measle_turquoise,
56.35472222,-4.978333333,Shira,In planning,measle_grey,
51.255,-2.581666667,Shooters Bottom Farm,Operational,small_red,2
54.67111111,-3.543055556,Siddick,Operational,small_red,4.2
59.13138889,-3.149166667,Sigurd,Operational,small_red,1.3
51.05444444,-2.3275,Silton resubmission,In planning,measle_grey,
57.63611111,-2.617222222,Site at Backhill Of Culbirnie,In planning,measle_grey,
57.63111111,-2.617777778,Site at Hill of Culbirnie,In planning,measle_grey,
57.37416667,-2.386666667,Site at Hill of Easterton,In planning,measle_grey,
53.73972222,-0.800555556,Sixpenny Wood,Consented,measle_turquoise,
56.16722222,-3.188055556,Skeddoway Farm,In planning,measle_grey,
57.44666667,-2.185,Skelmonae,Operational,small_red,3.2
54.35972222,-7.2075,Slatbeg,In planning,measle_grey,
54.5075,-7.105277778,Slieve Divena 1,Operational,small_red,30
54.5075,-7.105277778,Slieve Divena Extension,Consented,measle_turquoise,
54.83527778,-7.168055556,Slieve Kirk,Operational,small_red,27.6
54.83527778,-7.168055556,Slieve Kirk Ext,In planning,measle_grey,
54.16,-7.62,Slieve Rushen Repowering,Operational,small_red,54
54.64611111,-7.570555556,Slieveglass,In planning,measle_grey,
55.03916667,-6.272222222,Slievenahanaghan,Operational,small_red,1
54.97555556,-6.825277778,Smulgedon,In planning,measle_grey,
53.83638889,-0.605,Sober Hill,Consented,measle_turquoise,
51.56472222,-2.959444444,Solutia UK Ltd,Operational,small_red,5
55.10416667,-3.108055556,Solwaybank Resubmission,In planning,measle_grey,
52.70916667,1.655555556,Somerton,Operational,small_red,1.5
56.25777778,-2.834166667,South Cassingray,In planning,measle_grey,
44.36666667,55.46666667,South Sharpley,Consented,measle_turquoise,
52.69861111,-2.113333333,South Staffordshire College,Consented,measle_turquoise,
53.78694444,-0.864722222,Spaldington Airfield,Consented,measle_turquoise,
53.53194444,-1.669444444,Spicer Hill,Consented,measle_turquoise,
56.13222222,-3.276111111,Spittal Farm,In planning,measle_grey,
58.46,-3.4275,Spittal Hill,In planning,measle_grey,
52.0825,-1.169722222,Spring Farm Ridge,In planning,measle_grey,
59.27138889,-2.568333333,Spurness,Consented,measle_turquoise,
59.18611111,-2.689444444,Spurness Wind Farm,Operational,small_red,8.25
50.47666667,-4.8625,St Breock,Operational,small_red,4.95
57.57277778,-1.919722222,St Fergus Moss,Consented,measle_turquoise,
56.86527778,-2.241111111,St Johns Hill,Consented,measle_turquoise,
57.42277778,-2.334444444,St Johns Wells,Operational,small_red,2.4
52.88416667,-2.170555556,Stafford North Services (M6),Consented,measle_turquoise,
52.57472222,-0.145833333,Stags Holt,Operational,small_red,18
52.57472222,-0.145833333,Stags Holt Extension,Operational,small_red,2
53.60416667,-0.1625,Stallingborough,In planning,measle_grey,
55.95416667,-2.678611111,Standingstone,In planning,measle_grey,
55.79277778,-2.023888889,Steps of Grace Community Owned Wind Turbine,Consented,measle_turquoise,
52.97166667,-1.048333333,Stoke Bardolph Farm,In planning,measle_grey,
52.13805556,-0.812777778,Stoke Heights,In planning,measle_grey,
55.18527778,-4.908888889,Straid Farm,In planning,measle_grey,
57.62777778,-2.581111111,Strath of Brydock,Operational,small_red,4.6
57.62777778,-2.581111111,Strath of Brydock ext,Operational,small_red,2.3
58.48972222,-4.043333333,Strathy North,Consented,measle_turquoise,
58.42972222,-4.066111111,Strathy South,In planning,measle_grey,
52.04472222,-2.155833333,Strensham Wind Cluster,In planning,measle_grey,
52.44944444,1.537777778,Suffolk 3 - Laurels Farm Resubmission,In planning,measle_grey,
53.74611111,-6.81E-02,Sunderland (aka Roos) resubmission,Under construction,small_blue,
52.65694444,0.700833333,Swaffham II,Operational,small_red,1.8
52.66222222,0.703055556,Swaffham II Extension,In planning,measle_grey,
51.60916667,-3.922222222,Swansea Docks,Operational,small_red,0.25
52.42583333,-1.1525,Swinford,Under construction,small_blue,
51.56277778,-3.485833333,Taff Ely,Operational,small_red,9
54.71638889,-3.371666667,Tallentire Hill,Consented,measle_turquoise,
55.49388889,-5.679166667,Tangy,Operational,small_red,12.75
55.49388889,-5.679166667,Tangy Extension,Operational,small_red,5.95
54.54805556,-7.553888889,Tappaghan Mountain,Operational,small_red,19.5
54.54805556,-7.553888889,Tappaghan Mountain Extension,Operational,small_red,9
53.75416667,-4.44E-02,Tedder Hill,Consented,measle_turquoise,
54.63333333,-1.083333333,Teesside,Consented,measle_turquoise,
54.30444444,-7.335,Teiges,In planning,measle_grey,
51.5725,-2.858611111,Tesco Distribution Centre,Consented,measle_turquoise,
52.35027778,-1.166111111,Tesco Distribution Centre,Operational,small_red,0.8
52.35333333,-1.156666667,Tesco Power Logistics,Operational,small_red,0.85
52.35194444,-1.1475,Tesco Stores Ltd,Consented,measle_turquoise,
51.41666667,1.616666667,Thanet,Operational,small_red,300
52.75055556,0.166111111,The Grange,Consented,measle_turquoise,
53.12944444,0.248055556,The Hollies Wind Farm,Operational,small_red,2.6
53.38555556,-1.3825,The University of Sheffield,Under construction,small_blue,
59.12527778,-3.154444444,"Thorfinn, Burgar Hill",Operational,small_red,2.75
54.07055556,-0.301666667,Thornholme Field,In planning,measle_grey,
54.58805556,-7.626388889,Thornog,Consented,measle_turquoise,
54.58805556,-7.626388889,Thornog Ext,In planning,measle_grey,
54.6675,-7.681944444,Tievenameenta,Consented,measle_turquoise,
57.39972222,-2.578611111,Tillymorgan,In planning,measle_grey,
51.64555556,-4.014722222,Timet Site,In planning,measle_grey,
53.11444444,-3.488055556,Tir Mostyn &amp; Foel Goch,Operational,small_red,21.25
56.53555556,-6.757777778,Tiree Community Wind Turbine,Operational,small_red,0.9
52.59361111,-3.494166667,Tirgwynt,Consented,measle_turquoise,
52.42694444,1.184166667,Tivetshall Wind Farm,In planning,measle_grey,
55.77222222,-2.806666667,Toddleburn,Operational,small_red,27.6
53.71972222,-2.154444444,Todmorden Moor resubmission,Consented,measle_turquoise,
57.38222222,-3.881111111,Tom Nan Clach,In planning,measle_grey,
55.89777778,-2.261944444,Tormywheel,Consented,measle_turquoise,
55.17166667,-4.301666667,Torrs Hill,Under construction,small_blue,
54.76027778,-1.7825,Tow Law,Operational,small_red,2.3
54.71305556,-1.419444444,Trimdon Grange,Operational,small_red,5.2
53.37444444,-4.345277778,Trysglwyn,Operational,small_red,5.6
54.41638889,-7.814722222,Tullinoid,In planning,measle_grey,
56.83527778,-2.399722222,Tullo,Operational,small_red,17.5
56.83388889,-2.391944444,Tullo Ext,In planning,measle_grey,
53.60944444,-0.913611111,Tween Bridge Moor,Under construction,small_blue,
53.69916667,-0.87,Twin Rivers Wind Farm,Consented,measle_turquoise,
57.31722222,-2.184166667,Udny Community Wind Turbine,In planning,measle_grey,
55.32722222,-3.992222222,Ulzieside,In planning,measle_grey,
57.40055556,-2.0675,Upper Ardgrain,Operational,small_red,2.4
52.36388889,1.535833333,Upper Holton,Consented,measle_turquoise,
58.95444444,-2.731666667,Upper Stove,Consented,measle_turquoise,
52.40861111,1.219166667,Upper Vaunces Farm,In planning,measle_grey,
57.31888889,-2.876666667,Upper Wheedlemont Farm,In planning,measle_grey,
50.68777778,-1.456944444,Vectis,In planning,measle_grey,
50.59722222,-1.225277778,Ventnor Golf Club,In planning,measle_grey,
60.33194444,-1.239166667,Viking Wind Project,In planning,measle_grey,
52.15722222,0.312777778,Wadlow Wind Farm,Consented,measle_turquoise,
53.10083333,0.1675,Wainfleet St Mary,In planning,measle_grey,
53.22944444,-0.911944444,Walker & Sons (Hauliers),Consented,measle_turquoise,
54.67416667,-1.384444444,"Walkway, High Swainston",Operational,small_red,14
54.06666667,-3.533333333,Walney I,Operational,small_red,183.6
54.06666667,-3.533333333,Walney II,Under construction,small_blue,
55.51861111,-1.795555556,Wandylaw Moor,Consented,measle_turquoise,
55.12222222,-1.490277778,Wansbeck Blyth Harbour,Operational,small_red,2.7
55.12222222,-1.490277778,Wansbeck Blyth Harbour Repowering,Consented,measle_turquoise,
55.71055556,-4.723333333,Wardlaw Wood (Dalry Community Windfarm),Operational,small_red,18
52.3275,-1.113888889,Watford Lodge,Consented,measle_turquoise,
58.44138889,-3.240833333,Wathegar,Consented,measle_turquoise,
58.43694444,-3.221111111,Wathegar Extension,In planning,measle_grey,
58.47194444,-3.313333333,Watten (Bilbster),Operational,small_red,3.9
52.52777778,-3.5425,Waun Garno,In planning,measle_grey,
51.70111111,-4.985555556,Wear Point,Consented,measle_turquoise,
52.78305556,-0.919166667,Welby Grange Farm,Consented,measle_turquoise,
53.00777778,-3.38,Wern Ddu (Craig Lelo),Operational,small_red,9.2
64.53222222,26.38416667,West Browncastle,Consented,measle_turquoise,
54.76805556,-1.821666667,West Durham,Operational,small_red,24
58.82666667,-3.123888889,West Hill,Consented,measle_turquoise,
57.50055556,-2.03,West Knock Farm,Consented,measle_turquoise,
53.96666667,-3.433333333,West of Duddon Sands,Consented,measle_turquoise,
57.66833333,-3.448055556,Wester Buthill Farm,In planning,measle_grey,
55.92666667,-2.457777778,Wester Dod - Aikengall Extension,In planning,measle_grey,
53.80583333,0.15,Westermost Rough,Consented,measle_turquoise,
51.61722222,-1.669166667,Westmill,Operational,small_red,6.5
54.77222222,-3.35,Westnewton Wind Farm,Consented,measle_turquoise,
52.69527778,1.091666667,Weston Longville,Consented,measle_turquoise,
59.2975,-2.988611111,Westray Community wind turbine,Operational,small_red,0.9
55.22222222,-4.041666667,Wether Hill,Operational,small_red,18.2
54.81,-6.108611111,Whappstown,In planning,measle_grey,
54.72666667,-3.2825,Wharrels Hill,Operational,small_red,10.4
50.2425,-5.128055556,Wheal Jane Tin Mine,In planning,measle_grey,
50.89861111,-4.351666667,Wheelers Cross,In planning,measle_grey,
52.59638889,0.128055556,White Mill (Coldham ext),Under construction,small_blue,
55.68722222,-4.228611111,Whitelee Phase I extension,Under construction,small_blue,
55.68722222,-4.228611111,Whitelee Phase II extension,Under construction,small_blue,
55.68722222,-4.228611111,"Whitelee, Eaglesham Moor (Part)",Operational,small_red,322
55.32361111,-4.022777778,Whiteside Hill,Consented,measle_turquoise,
52.55666667,-0.1725,Whittlesey,Operational,small_red,1.8
55.49388889,-2.381388889,Whitton,In planning,measle_grey,
55.29194444,-4.205,Windy Standard,Operational,small_red,21.6
55.29194444,-4.398611111,Windy Standard Extension,Consented,measle_turquoise,
55.24916667,-1.867777778,Wingates,Consented,measle_turquoise,
55.23333333,-1.846944444,Wingates Moor,In planning,measle_grey,
54.86416667,-3.0875,Winscales,Operational,small_red,1.98
54.86416667,-3.0875,Winscales extension,Operational,small_red,6.8
54.64222222,-3.496944444,Winscales Moor,Operational,small_red,5.95
52.36638889,-1.060833333,Winwick,In planning,measle_grey,
53.84666667,-0.162222222,Withernwick resubmission,Consented,measle_turquoise,
51.18583333,-2.954166667,Withy End Farm,In planning,measle_grey,
54.80305556,-6.094166667,Wolf Bog,Operational,small_red,10
57.31,-2.201111111,Woodlands Farm (Turbine 1),In planning,measle_grey,
57.31111111,-2.203055556,Woodlands Farm (Turbine 2),In planning,measle_grey,
53.98333333,-1.574444444,Woodlane,In planning,measle_grey,
52.34277778,-0.298611111,Woolley Hill,In planning,measle_grey,
52.63666667,-5.67E-02,Wryde Croft Re-submission,Consented,measle_turquoise,
52.62944444,-0.558055556,WW Steadfold Lane,In planning,measle_grey,
54.83888889,-1.417777778,WWA High Sharpley,Operational,small_red,2.6
50.17194444,-5.152222222,WWF Roskrow Barton,Operational,small_red,1.7
53.78861111,-2.160833333,WWP Hameldon Hill,Operational,small_red,4.5
54.78083333,-3.159722222,WWU High Pow,Operational,small_red,3.9
52.37166667,-1.146944444,Yelvertoft Wind Farm,Consented,measle_turquoise,
57.37972222,-2.159444444,Yowlie,In planning,measle_grey,
53.39444444,-4.394166667,Ysgellog Farm,Consented,measle_turquoise,
